topic,proportion,timeStep
Topic-9,0,01/28/17:05:30:01
Topic-0,48,01/28/17:06:00:01
Topic-1,27,01/28/17:06:00:01
Topic-2,7,01/28/17:06:00:01
Topic-3,34,01/28/17:06:00:01
Topic-4,22,01/28/17:06:00:01
Topic-5,1,01/28/17:06:00:01
Topic-6,5,01/28/17:06:00:01
Topic-7,5,01/28/17:06:00:01
Topic-8,36,01/28/17:06:00:01
Topic-9,0,01/28/17:06:00:01
Topic-0,35,01/28/17:06:30:01
Topic-1,14,01/28/17:06:30:01
Topic-2,12,01/28/17:06:30:01
Topic-3,29,01/28/17:06:30:01
Topic-4,26,01/28/17:06:30:01
Topic-5,7,01/28/17:06:30:01
Topic-6,3,01/28/17:06:30:01
Topic-7,0,01/28/17:06:30:01
Topic-8,38,01/28/17:06:30:01
Topic-9,1,01/28/17:06:30:01
Topic-0,43,01/28/17:07:00:01
Topic-1,11,01/28/17:07:00:01
Topic-2,14,01/28/17:07:00:01
Topic-3,17,01/28/17:07:00:01
Topic-4,36,01/28/17:07:00:01
Topic-5,1,01/28/17:07:00:01
Topic-6,2,01/28/17:07:00:01
Topic-7,2,01/28/17:07:00:01
Topic-8,37,01/28/17:07:00:01
Topic-9,1,01/28/17:07:00:01
Topic-0,40,01/28/17:07:30:01
Topic-1,16,01/28/17:07:30:01
Topic-2,5,01/28/17:07:30:01
Topic-3,15,01/28/17:07:30:01
Topic-4,28,01/28/17:07:30:01
Topic-5,6,01/28/17:07:30:01
Topic-6,6,01/28/17:07:30:01
Topic-7,3,01/28/17:07:30:01
Topic-8,29,01/28/17:07:30:01
Topic-9,1,01/28/17:07:30:01
Topic-0,38,01/28/17:08:00:01
Topic-1,23,01/28/17:08:00:01
Topic-2,7,01/28/17:08:00:01
Topic-3,21,01/28/17:08:00:01
Topic-4,16,01/28/17:08:00:01
Topic-5,0,01/28/17:08:00:01
Topic-6,8,01/28/17:08:00:01
Topic-7,4,01/28/17:08:00:01
Topic-8,24,01/28/17:08:00:01
Topic-9,1,01/28/17:08:00:01
Topic-0,35,01/28/17:08:30:01
Topic-1,23,01/28/17:08:30:01
Topic-2,6,01/28/17:08:30:01
Topic-3,25,01/28/17:08:30:01
Topic-4,29,01/28/17:08:30:01
Topic-5,10,01/28/17:08:30:01
Topic-6,6,01/28/17:08:30:01
Topic-7,11,01/28/17:08:30:01
Topic-8,23,01/28/17:08:30:01
Topic-9,0,01/28/17:08:30:01
Topic-0,27,01/28/17:09:00:01
Topic-1,10,01/28/17:09:00:01
Topic-2,8,01/28/17:09:00:01
Topic-3,32,01/28/17:09:00:01
Topic-4,44,01/28/17:09:00:01
Topic-5,5,01/28/17:09:00:01
Topic-6,6,01/28/17:09:00:01
Topic-7,7,01/28/17:09:00:01
Topic-8,28,01/28/17:09:00:01
Topic-9,0,01/28/17:09:00:01
Topic-0,43,01/28/17:09:30:01
Topic-1,24,01/28/17:09:30:01
Topic-2,3,01/28/17:09:30:01
Topic-3,35,01/28/17:09:30:01
Topic-4,24,01/28/17:09:30:01
Topic-5,2,01/28/17:09:30:01
Topic-6,10,01/28/17:09:30:01
Topic-7,1,01/28/17:09:30:01
Topic-8,35,01/28/17:09:30:01
Topic-9,1,01/28/17:09:30:01
Topic-0,54,01/28/17:10:00:01
Topic-1,31,01/28/17:10:00:01
Topic-2,6,01/28/17:10:00:01
Topic-3,23,01/28/17:10:00:01
Topic-4,30,01/28/17:10:00:01
Topic-5,3,01/28/17:10:00:01
Topic-6,1,01/28/17:10:00:01
Topic-7,8,01/28/17:10:00:01
Topic-8,23,01/28/17:10:00:01
Topic-9,0,01/28/17:10:00:01
Topic-0,56,01/28/17:10:30:01
Topic-1,35,01/28/17:10:30:01
Topic-2,8,01/28/17:10:30:01
Topic-3,30,01/28/17:10:30:01
Topic-4,41,01/28/17:10:30:01
Topic-5,9,01/28/17:10:30:01
Topic-6,13,01/28/17:10:30:01
Topic-7,4,01/28/17:10:30:01
Topic-8,24,01/28/17:10:30:01
Topic-9,0,01/28/17:10:30:01
Topic-0,31,01/28/17:11:00:01
Topic-1,38,01/28/17:11:00:01
Topic-2,12,01/28/17:11:00:01
Topic-3,23,01/28/17:11:00:01
Topic-4,30,01/28/17:11:00:01
Topic-5,5,01/28/17:11:00:01
Topic-6,4,01/28/17:11:00:01
Topic-7,4,01/28/17:11:00:01
Topic-8,47,01/28/17:11:00:01
Topic-9,1,01/28/17:11:00:01
Topic-0,62,01/28/17:11:30:01
Topic-1,39,01/28/17:11:30:01
Topic-2,8,01/28/17:11:30:01
Topic-3,26,01/28/17:11:30:01
Topic-4,31,01/28/17:11:30:01
Topic-5,9,01/28/17:11:30:01
Topic-6,5,01/28/17:11:30:01
Topic-7,4,01/28/17:11:30:01
Topic-8,46,01/28/17:11:30:01
Topic-9,1,01/28/17:11:30:01
Topic-0,106,01/28/17:12:00:01
Topic-1,64,01/28/17:12:00:01
Topic-2,29,01/28/17:12:00:01
Topic-3,23,01/28/17:12:00:01
Topic-4,54,01/28/17:12:00:01
Topic-5,3,01/28/17:12:00:01
Topic-6,8,01/28/17:12:00:01
Topic-7,11,01/28/17:12:00:01
Topic-8,44,01/28/17:12:00:01
Topic-9,0,01/28/17:12:00:01
Topic-0,129,01/28/17:12:30:01
Topic-1,74,01/28/17:12:30:01
Topic-2,14,01/28/17:12:30:01
Topic-3,59,01/28/17:12:30:01
Topic-4,67,01/28/17:12:30:01
Topic-5,11,01/28/17:12:30:01
Topic-6,2,01/28/17:12:30:01
Topic-7,8,01/28/17:12:30:01
Topic-8,68,01/28/17:12:30:01
Topic-9,1,01/28/17:12:30:01
Topic-0,116,01/28/17:13:00:01
Topic-1,101,01/28/17:13:00:01
Topic-2,24,01/28/17:13:00:01
Topic-3,84,01/28/17:13:00:01
Topic-4,83,01/28/17:13:00:01
Topic-5,12,01/28/17:13:00:01
Topic-6,1,01/28/17:13:00:01
Topic-7,14,01/28/17:13:00:01
Topic-8,82,01/28/17:13:00:01
Topic-9,1,01/28/17:13:00:01
Topic-0,150,01/28/17:13:30:01
Topic-1,106,01/28/17:13:30:01
Topic-2,23,01/28/17:13:30:01
Topic-3,44,01/28/17:13:30:01
Topic-4,106,01/28/17:13:30:01
Topic-5,12,01/28/17:13:30:01
Topic-6,9,01/28/17:13:30:01
